participantId,valid,parsed,errorMessage,Array literal (list) is not terminated,Can not decode value starting with character ':',Expected a ']' but saw '}',Expected a '}' but saw ']'
67f5bb69760b211cdfe8021c,True,"{'movies': {'movie': [{'title': 'After Dark in Central Park', 'year': 1900, 'cast': [], 'genres': ['Silent', 'Short'], 'href': None, 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-03-15', 'production_company': 'Edison Manufacturing Company', 'director': 'James H. White', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 500, 'box_office': None, 'awards': []}, {'title': ""Boarding School Girls' Pajama Parade"", 'year': 1900, 'cast': [], 'genres': ['Silent', 'Short'], 'href': None, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-05-10', 'production_company': 'Edison Manufacturing Company', 'director': 'James H. White', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 450, 'box_office': None, 'awards': []}, {'title': ""Buffalo Bill's Wild West Parade"", 'year': 1900, 'cast': ['Buffalo Bill (William F. Cody)'], 'genres': ['Documentary'], 'href': None, 'country': 'United States', 'runtime': 5, 'language': 'Silent', 'release_date': '1900-07-04', 'production_company': 'Edison Manufacturing Company', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 600, 'box_office': None, 'awards': []}, {'title': 'Caught', 'year': 1900, 'cast': [], 'genres': ['Drama'], 'href': None, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-02-20', 'production_company': 'Biograph Company', 'director': 'William Heise', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 400, 'box_office': None, 'awards': []}, {'title': 'Clowns Spinning Hats', 'year': 1900, 'cast': ['Unknown Clowns'], 'genres': ['Silent', 'Comedy'], 'href': 'Clowns_Spinning_Hats', 'extract': 'Clowns Spinning Hats is a black-and-white silent film featuring clowns throwing hats back and forth to each other. It was written and produced by Lubin Films and released April 7, 1900.', 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-04-07', 'production_company': 'Lubin Films', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 500, 'box_office': None, 'awards': []}, {'title': 'The Enchanted Drawing', 'year': 1900, 'cast': ['J. Stuart Blackton'], 'genres': ['Silent', 'Animation'], 'href': 'The_Enchanted_Drawing', 'extract': 'The Enchanted Drawing is a 1900 silent film directed by J. Stuart Blackton. It is best known for containing the first animated sequences recorded on standard picture film, which has led Blackton to be considered the father of American animation.', 'thumbnail_width': 320, 'thumbnail_height': 240, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-11-16', 'production_company': 'Vitagraph Studios', 'director': 'J. Stuart Blackton', 'writer': 'J. Stuart Blackton', 'cinematography': 'Unknown', 'budget': 700, 'box_office': None, 'awards': []}, {'title': 'Feeding Sea Lions', 'year': 1900, 'cast': ['Paul Boyton'], 'genres': ['Short', 'Silent'], 'href': 'Feeding_Sea_Lions', 'extract': 'Feeding Sea Lions is a short silent film featuring Paul Boyton feeding sea lions at his Sea Lion Park at Coney Island. Boyton is shown feeding the trained sea lions, twelve in number. The sea lions follow Boyton up the steps of the pool and then follow him back into the water. One of them steals food out of the basket. The film was made by Lubin Studios on March 10, 1900.', 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-03-10', 'production_company': 'Lubin Studios', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 450, 'box_office': None, 'awards': []}]}}",,,,,
678bad003d15e6aba1ee5a5d,True,"{'movies': {'movie': [{'title': 'After Dark in Central Park', 'year': 1900, 'cast': [], 'genres': ['Silent', 'Short'], 'href': None, 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-03-15', 'production_company': 'Edison Manufacturing Company', 'director': 'James H. White', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 500, 'box_office': None, 'awards': []}, {'title': ""Boarding School Girls' Pajama Parade"", 'year': 1900, 'cast': [], 'genres': ['Silent', 'Short'], 'href': None, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-05-10', 'production_company': 'Edison Manufacturing Company', 'director': 'James H. White', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 450, 'box_office': None, 'awards': []}, {'title': ""Buffalo Bill's Wild West Parade"", 'year': 1900, 'cast': ['Buffalo Bill (William F. Cody)'], 'genres': ['Documentary'], 'href': None, 'country': 'United States', 'runtime': 5, 'language': 'Silent', 'release_date': '1900-07-04', 'production_company': 'Edison Manufacturing Company', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 600, 'box_office': None, 'awards': []}, {'title': 'Caught', 'year': 1900, 'cast': [], 'genres': ['Drama'], 'href': None, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-02-20', 'production_company': 'Biograph Company', 'director': 'William Heise', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 400, 'box_office': None, 'awards': []}, {'title': 'Clowns Spinning Hats', 'year': 1900, 'cast': ['Unknown Clowns'], 'genres': ['Silent', 'Comedy'], 'href': 'Clowns_Spinning_Hats', 'extract': 'Clowns Spinning Hats is a black-and-white silent film featuring clowns throwing hats back and forth to each other. It was written and produced by Lubin Films and released April 7, 1900.', 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-04-07', 'production_company': 'Lubin Films', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 500, 'box_office': None, 'awards': []}, {'title': 'The Enchanted Drawing', 'year': 1900, 'cast': ['J. Stuart Blackton'], 'genres': ['Silent', 'Animation'], 'href': 'The_Enchanted_Drawing', 'extract': 'The Enchanted Drawing is a 1900 silent film directed by J. Stuart Blackton. It is best known for containing the first animated sequences recorded on standard picture film, which has led Blackton to be considered the father of American animation.', 'thumbnail_width': 320, 'thumbnail_height': 240, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-11-16', 'production_company': 'Vitagraph Studios', 'director': 'J. Stuart Blackton', 'writer': 'J. Stuart Blackton', 'cinematography': 'Unknown', 'budget': 700, 'box_office': None, 'awards': []}, {'title': 'Feeding Sea Lions', 'year': 1900, 'cast': ['Paul Boyton'], 'genres': ['Short', 'Silent'], 'href': 'Feeding_Sea_Lions', 'extract': 'Feeding Sea Lions is a short silent film featuring Paul Boyton feeding sea lions at his Sea Lion Park at Coney Island. Boyton is shown feeding the trained sea lions, twelve in number. The sea lions follow Boyton up the steps of the pool and then follow him back into the water. One of them steals food out of the basket. The film was made by Lubin Studios on March 10, 1900.', 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-03-10', 'production_company': 'Lubin Studios', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 450, 'box_office': None, 'awards': []}]}}",,,,,
67f0c5d37f91ceae5cb3b318,False,,Expected a '}' but saw ']',0.0,0.0,0.0,1.0
67aee0dfad3492b61a9ba0eb,False,,Array literal (list) is not terminated,1.0,0.0,0.0,0.0
6734346ca8e90c2da6fb4509,True,"{'movies': {'movie': [{'title': 'After Dark in Central Park', 'year': 1900, 'cast': [], 'genres': ['Silent', 'Short'], 'href': None, 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-03-15', 'production_company': 'Edison Manufacturing Company', 'director': 'James H. White', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 500, 'box_office': None, 'awards': []}, {'title': ""Boarding School Girls' Pajama Parade"", 'year': 1900, 'cast': [], 'genres': ['Silent', 'Short'], 'href': None, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-05-10', 'production_company': 'Edison Manufacturing Company', 'director': 'James H. White', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 450, 'box_office': None, 'awards': []}, {'title': ""Buffalo Bill's Wild West Parade"", 'year': 1900, 'cast': ['Buffalo Bill (William F. Cody)'], 'genres': ['Documentary'], 'href': None, 'country': 'United States', 'runtime': 5, 'language': 'Silent', 'release_date': '1900-07-04', 'production_company': 'Edison Manufacturing Company', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 600, 'box_office': None, 'awards': []}, {'title': 'Caught', 'year': 1900, 'cast': [], 'genres': ['Drama'], 'href': None, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-02-20', 'production_company': 'Biograph Company', 'director': 'William Heise', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 400, 'box_office': None, 'awards': []}, {'title': 'Clowns Spinning Hats', 'year': 1900, 'cast': ['Unknown Clowns'], 'genres': ['Silent', 'Comedy'], 'href': 'Clowns_Spinning_Hats', 'extract': 'Clowns Spinning Hats is a black-and-white silent film featuring clowns throwing hats back and forth to each other. It was written and produced by Lubin Films and released April 7, 1900.', 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-04-07', 'production_company': 'Lubin Films', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 500, 'box_office': None, 'awards': []}, {'title': 'The Enchanted Drawing', 'year': 1900, 'cast': ['J. Stuart Blackton'], 'genres': ['Silent', 'Animation'], 'href': 'The_Enchanted_Drawing', 'extract': 'The Enchanted Drawing is a 1900 silent film directed by J. Stuart Blackton. It is best known for containing the first animated sequences recorded on standard picture film, which has led Blackton to be considered the father of American animation.', 'thumbnail_width': 320, 'thumbnail_height': 240, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-11-16', 'production_company': 'Vitagraph Studios', 'director': 'J. Stuart Blackton', 'writer': 'J. Stuart Blackton', 'cinematography': 'Unknown', 'budget': 700, 'box_office': None, 'awards': []}, {'title': 'Feeding Sea Lions', 'year': 1900, 'cast': ['Paul Boyton'], 'genres': ['Short', 'Silent'], 'href': 'Feeding_Sea_Lions', 'extract': 'Feeding Sea Lions is a short silent film featuring Paul Boyton feeding sea lions at his Sea Lion Park at Coney Island. Boyton is shown feeding the trained sea lions, twelve in number. The sea lions follow Boyton up the steps of the pool and then follow him back into the water. One of them steals food out of the basket. The film was made by Lubin Studios on March 10, 1900.', 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-03-10', 'production_company': 'Lubin Studios', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 450, 'box_office': None, 'awards': []}]}}",,,,,
67ab214c2cde1be7c45535ac,False,,Expected a ']' but saw '}',0.0,0.0,1.0,0.0
607728dc0b4f8590b94ae57c,True,"{'movies': {'movie': [{'title': 'After Dark in Central Park', 'year': 1900, 'cast': [], 'genres': ['Silent', 'Short'], 'href': None, 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-03-15', 'production_company': 'Edison Manufacturing Company', 'director': 'James H. White', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 500, 'box_office': None, 'awards': []}, {'title': ""Boarding School Girls' Pajama Parade"", 'year': 1900, 'cast': [], 'genres': ['Silent', 'Short'], 'href': None, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-05-10', 'production_company': 'Edison Manufacturing Company', 'director': 'James H. White', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 450, 'box_office': None, 'awards': []}, {'title': ""Buffalo Bill's Wild West Parade"", 'year': 1900, 'cast': ['Buffalo Bill (William F. Cody)'], 'genres': ['Documentary'], 'href': None, 'country': 'United States', 'runtime': 5, 'language': 'Silent', 'release_date': '1900-07-04', 'production_company': 'Edison Manufacturing Company', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 600, 'box_office': None, 'awards': []}, {'title': 'Caught', 'year': 1900, 'cast': [], 'genres': ['Drama'], 'href': None, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-02-20', 'production_company': 'Biograph Company', 'director': 'William Heise', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 400, 'box_office': None, 'awards': []}, {'title': 'Clowns Spinning Hats', 'year': 1900, 'cast': ['Unknown Clowns'], 'genres': ['Silent', 'Comedy'], 'href': 'Clowns_Spinning_Hats', 'extract': 'Clowns Spinning Hats is a black-and-white silent film featuring clowns throwing hats back and forth to each other. It was written and produced by Lubin Films and released April 7, 1900.', 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-04-07', 'production_company': 'Lubin Films', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 500, 'box_office': None, 'awards': []}, {'title': 'The Enchanted Drawing', 'year': 1900, 'cast': ['J. Stuart Blackton'], 'genres': ['Silent', 'Animation'], 'href': 'The_Enchanted_Drawing', 'extract': 'The Enchanted Drawing is a 1900 silent film directed by J. Stuart Blackton. It is best known for containing the first animated sequences recorded on standard picture film, which has led Blackton to be considered the father of American animation.', 'thumbnail_width': 320, 'thumbnail_height': 240, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-11-16', 'production_company': 'Vitagraph Studios', 'director': 'J. Stuart Blackton', 'writer': 'J. Stuart Blackton', 'cinematography': 'Unknown', 'budget': 700, 'box_office': None, 'awards': []}, {'title': 'Feeding Sea Lions', 'year': 1900, 'cast': ['Paul Boyton'], 'genres': ['Short', 'Silent'], 'href': 'Feeding_Sea_Lions', 'extract': 'Feeding Sea Lions is a short silent film featuring Paul Boyton feeding sea lions at his Sea Lion Park at Coney Island. Boyton is shown feeding the trained sea lions, twelve in number. The sea lions follow Boyton up the steps of the pool and then follow him back into the water. One of them steals food out of the basket. The film was made by Lubin Studios on March 10, 1900.', 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-03-10', 'production_company': 'Lubin Studios', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 450, 'box_office': None, 'awards': []}]}}",,,,,
5dafea4de40355001651fa2f,False,,Can not decode value starting with character ':',0.0,1.0,0.0,0.0
6784ff2095dd9b97e969b01f,True,"{'movies': {'movie': [{'title': 'After Dark in Central Park', 'year': 1900, 'cast': [], 'genres': ['Silent', 'Short'], 'href': None, 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-03-15', 'production_company': 'Edison Manufacturing Company', 'director': 'James H. White', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 500, 'box_office': None, 'awards': []}, {'title': ""Boarding School Girls' Pajama Parade"", 'year': 1900, 'cast': [], 'genres': ['Silent', 'Short'], 'href': None, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-05-10', 'production_company': 'Edison Manufacturing Company', 'director': 'James H. White', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 450, 'box_office': None, 'awards': []}, {'title': ""Buffalo Bill's Wild West Parade"", 'year': 1900, 'cast': ['Buffalo Bill (William F. Cody)'], 'genres': ['Documentary'], 'href': None, 'country': 'United States', 'runtime': 5, 'language': 'Silent', 'release_date': '1900-07-04', 'production_company': 'Edison Manufacturing Company', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 600, 'box_office': None, 'awards': []}, {'title': 'Caught', 'year': 1900, 'cast': [], 'genres': ['Drama'], 'href': None, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-02-20', 'production_company': 'Biograph Company', 'director': 'William Heise', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 400, 'box_office': None, 'awards': []}, {'title': 'Clowns Spinning Hats', 'year': 1900, 'cast': ['Unknown Clowns'], 'genres': ['Silent', 'Comedy'], 'href': 'Clowns_Spinning_Hats', 'extract': 'Clowns Spinning Hats is a black-and-white silent film featuring clowns throwing hats back and forth to each other. It was written and produced by Lubin Films and released April 7, 1900.', 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-04-07', 'production_company': 'Lubin Films', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 500, 'box_office': None, 'awards': []}, {'title': 'The Enchanted Drawing', 'year': 1900, 'cast': ['J. Stuart Blackton'], 'genres': ['Silent', 'Animation'], 'href': 'The_Enchanted_Drawing', 'extract': 'The Enchanted Drawing is a 1900 silent film directed by J. Stuart Blackton. It is best known for containing the first animated sequences recorded on standard picture film, which has led Blackton to be considered the father of American animation.', 'thumbnail_width': 320, 'thumbnail_height': 240, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-11-16', 'production_company': 'Vitagraph Studios', 'director': 'J. Stuart Blackton', 'writer': 'J. Stuart Blackton', 'cinematography': 'Unknown', 'budget': 700, 'box_office': None, 'awards': []}, {'title': 'Feeding Sea Lions', 'year': 1900, 'cast': ['Paul Boyton'], 'genres': ['Short', 'Silent'], 'href': 'Feeding_Sea_Lions', 'extract': 'Feeding Sea Lions is a short silent film featuring Paul Boyton feeding sea lions at his Sea Lion Park at Coney Island. Boyton is shown feeding the trained sea lions, twelve in number. The sea lions follow Boyton up the steps of the pool and then follow him back into the water. One of them steals food out of the basket. The film was made by Lubin Studios on March 10, 1900.', 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-03-10', 'production_company': 'Lubin Studios', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 450, 'box_office': None, 'awards': []}, {'year': 1902, 'cast': ['Georges Méliès'], 'genres': ['Sci-Fi', 'Adventure'], 'href': 'A_Trip_to_the_Moon', 'extract': 'A Trip to the Moon (French: Le Voyage dans la Lune) is a 1902 French silent film directed by Georges Méliès. It is widely regarded as the first science fiction film ever made.', 'thumbnail_width': 320, 'thumbnail_height': 240, 'country': 'France', 'runtime': 14, 'language': 'Silent', 'release_date': '1902-09-01', 'production_company': 'Star Film Company', 'director': 'Georges Méliès', 'writer': 'Georges Méliès', 'cinematography': 'Georges Méliès', 'budget': 10000, 'box_office': 20000, 'awards': ['Considered a milestone in cinema history']}, {'year': 1903, 'cast': ['Gilbert M. Anderson', 'A. C. Abadie'], 'genres': ['Western', 'Action'], 'href': 'The_Great_Train_Robbery', 'extract': 'The Great Train Robbery is a 1903 American silent short film directed by Edwin S. Porter. It is considered one of the earliest narrative films.', 'thumbnail_width': 320, 'thumbnail_height': 240, 'country': 'United States', 'runtime': 12, 'language': 'Silent', 'release_date': '1903-12-01', 'production_company': 'Edison Manufacturing Company', 'director': 'Edwin S. Porter', 'writer': 'Scott Marble', 'cinematography': 'Edwin S. Porter', 'budget': 150, 'box_office': 5000, 'awards': ['One of the earliest crime films']}]}}",,,,,
5ecc71c95c92c2000a9e9a19,True,"{'movies': {'movie': [{'title': 'After Dark in Central Park', 'year': 1900, 'cast': [], 'genres': ['Silent', 'Short'], 'href': None, 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-03-15', 'production_company': 'Edison Manufacturing Company', 'director': 'James H. White', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 500, 'box_office': None, 'awards': []}, {'title': ""Boarding School Girls' Pajama Parade"", 'year': 1900, 'cast': [], 'genres': ['Silent', 'Short'], 'href': None, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-05-10', 'production_company': 'Edison Manufacturing Company', 'director': 'James H. White', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 450, 'box_office': None, 'awards': []}, {'title': ""Buffalo Bill's Wild West Parade"", 'year': 1900, 'cast': ['Buffalo Bill (William F. Cody)'], 'genres': ['Documentary'], 'href': None, 'country': 'United States', 'runtime': 5, 'language': 'Silent', 'release_date': '1900-07-04', 'production_company': 'Edison Manufacturing Company', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 600, 'box_office': None, 'awards': []}, {'title': 'Caught', 'year': 1900, 'cast': [], 'genres': ['Drama'], 'href': None, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-02-20', 'production_company': 'Biograph Company', 'director': 'William Heise', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 400, 'box_office': None, 'awards': []}, {'title': 'Clowns Spinning Hats', 'year': 1900, 'cast': ['Unknown Clowns'], 'genres': ['Silent', 'Comedy'], 'href': 'Clowns_Spinning_Hats', 'extract': 'Clowns Spinning Hats is a black-and-white silent film featuring clowns throwing hats back and forth to each other. It was written and produced by Lubin Films and released April 7, 1900.', 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-04-07', 'production_company': 'Lubin Films', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 500, 'box_office': None, 'awards': []}, {'title': 'The Enchanted Drawing', 'year': 1900, 'cast': ['J. Stuart Blackton'], 'genres': ['Silent', 'Animation'], 'href': 'The_Enchanted_Drawing', 'extract': 'The Enchanted Drawing is a 1900 silent film directed by J. Stuart Blackton. It is best known for containing the first animated sequences recorded on standard picture film, which has led Blackton to be considered the father of American animation.', 'thumbnail_width': 320, 'thumbnail_height': 240, 'country': 'United States', 'runtime': 2, 'language': 'Silent', 'release_date': '1900-11-16', 'production_company': 'Vitagraph Studios', 'director': 'J. Stuart Blackton', 'writer': 'J. Stuart Blackton', 'cinematography': 'Unknown', 'budget': 700, 'box_office': None, 'awards': []}, {'title': 'Feeding Sea Lions', 'year': 1900, 'cast': ['Paul Boyton'], 'genres': ['Short', 'Silent'], 'href': 'Feeding_Sea_Lions', 'extract': 'Feeding Sea Lions is a short silent film featuring Paul Boyton feeding sea lions at his Sea Lion Park at Coney Island. Boyton is shown feeding the trained sea lions, twelve in number. The sea lions follow Boyton up the steps of the pool and then follow him back into the water. One of them steals food out of the basket. The film was made by Lubin Studios on March 10, 1900.', 'country': 'United States', 'runtime': 3, 'language': 'Silent', 'release_date': '1900-03-10', 'production_company': 'Lubin Studios', 'director': 'Unknown', 'writer': 'Unknown', 'cinematography': 'Unknown', 'budget': 450, 'box_office': None, 'awards': []}]}}",,,,,
