participantId,valid,code,errorMessage,Could not recover any root element
57ca4b09993b08000192297b,True,"<version>4.4.7</version>
<repository>
    <author>
        <middle_name=""""/>
        <IsMember>true</IsMember>
    </author>
    <type>git</type>
</repository>
<engines>
    <pnpm> >=8 </pnpm>
</engines>
<keywords>canvas</keywords>
<keywords>responsive</keywords>
<keywords>charts</keywords>",,
6693ce87e76d32ccf07fbcd8,True,"<?xml version = ""4.47"" encoding = ""UTF-8""?>
<repository>
    <author>
        <middle_name></middle>
        <IsMember>true</IsMember>
    </author>
    <type>git</type>
</repository>
<engines>
    <pnpon> >=8 </pnpon>
</engines>
<keywords>
    <canvas></canvas>
    <responsive></responsive>
    <charts></charts>
</keywords>",,
60f70af563ef757f65e750e0,False,"</version> 
    <4.4.7>
</repository>
    <author>middle name</author>
    <IsMember>true</IsMember>
</engines>
    <pnpm>>=8</pnpm>
</keywords>
    <canvas>    
    </responsive>
    </charts>
    ",Could not recover any root element,1.0
67c045fa5074c5500ca40e76,True,"<root>
<version>4.4.7</version>
<respository>
<authot>
<middle_name></LsMember</middle_name>
<isMember>true></isMember>
</author>
<type>git</type>
</repository>
<engines>
 <npm>>=6</npm>
 </engines>
   <keywords>
     <keyword>canvas</keyword>
     <keyword>responsive</keyword>
     <keyword>charts</keyword>
     </keywords>
     
        ",,
67d2eaf9d5996dc6be1c7072,True,"<?xml version=""1.0"" encoding=""UTF-8""?>
<root>
    <version>4.4.7</version>
    <type>pnpm</type>
    </repository>
    <keywords>canvas</keywords>
    <keywords>responsive</keywords>
    <keywords>charts</keywords>",,
651b29ff3a6cadf518640abe,True,"<？xml version=""4.4.7"" encoding></？xml>
<repository></repository>author</middle_name>
<repository></repository>type<git>
                         author<middle_name></middle>
                                <IsMember></IsMember=true>
<engines></engines>pnpm>=8
<keywords></keywords>
    <canvas></canvas>
    <responsive></responsive>
    <charts></charts>
",,
67aca6831f2b0b79416bdb6c,True,"<?xml version=""1.0""?> <root></root>
<root>
<version>2.4.7/versio>
<repository><engineer>
><keywords><propan/></keywords></
respository
</engineer> <root></root>",,
677f8968bbb08bc37c8d2a4b,True,"<data>
    <element name=""keyword""></element>
      <git=3.0>
          <engines=3.0>
       </PNPM=8.0>
       <git=>=8</git>
      <element name=""metadata"">   
      </element>
      ",,
672f51ea346fba23ddd5a793,True,"<version>4.4.7</version>
    <repository>
        <auhor>
            <middle_name/>
            <isMember>true</isMember>
            </author>
            <type>git</type>
            </repository>
            <engines>
                <npm>7</npm>
                <yarn>1</yarn>
                </engines>
                <keywords>
                    <keyword>canvas</keyword>
                    <keyword>responsive</keyword>
                    <keyword>charts<keyword></keyword>",,
62d7fef5538b81f205ba4656,True,"<?xml version=""4.4.7"" encoding=""UTF-8"">
<repository>
<author>
<middle_name></middle_name>
<isMember>True</isMember>
</author>
<type>Git</type>
<engines>
<pnpm>>=8</pnpm>
<keywords>
<canvas></canvas>
<responsive></responsive>
<charts></charts>
</keywords>
</engines>
</repository>",,
67406c1303bd39d206ff2b50,False,"<?xml version=""4.4.7"" encoding=""UTF-8""?>
    </repository>
        <type>git</type>
        </author>
        <middle_name></middle>
        <IsMember>true</IsMember>
    </engines>
        <pnpm>>=8</pnpm>
    <keywords>canvas</keywords>
    <keywords>responsive</keywords>
    <keywords>charts</keywords>",Could not recover any root element,1.0
67f66486e35051403284eb5e,False,"""version.4.4.7.0""
""repository"": {
""author"":{
""Ismember"":""man""
""Ismember"": true
}
""type"":""kit""
}
""engines""{
""pnpm"""";{
""version"" : ""<=8""
}
}'
""keywords"": [""canvas"" , responsive, charts""
}",Could not recover any root element,1.0
60f7c71d1cffec381351b0b3,True,"<version>4.4.7</version>
<repository=""author""> type</repository>
<engines="">=8""></pnpm>
 <keywords></keywords>canvas
 <keyword>responsive</keywordkeywords>
 <keywords>charts</keywords 
 <type>git</type>
  <author></author>middlename
  <author></author>Ismember
  <Ismember>true</Ismember>",,
5fb4fcd1fce53c30649dd704,False," XML <version 4.4.7>
     <repository>
         <author/<middle_name>
                 <IsMember>/<true>
         <type/<git>
     <engines/<pnpm>=8>
     <keywords>
         <canvas>
         <responsive>
         <charts>          
              ",Could not recover any root element,1.0
5c4f5967aac8be0001716a65,True,"<?xml version=""1.0"" encoding=""UTF-8""?>
<!--- Nested structure example XML File -->
<version>""4.4.7""</version>
<respository>
    <author>
        <middle_name>""""</middle_name>
        <IsMember>true</IsMember>
    </author>
    <type>""git""</type>
</respository>
<engines>
    <pnpm>"">=8""</pnpm>
</engines>
<keywords>
    <canvas></canvas>
    <responsive></responsive>
    <charts></charts>
</keywords>
",,
