participantId,valid,parsed,errorMessage,A block sequence may not be used as an implicit map key,All mapping items must start at the same column,Block scalar header includes extra characters: >=8,Implicit keys need to be on a single line,Implicit map keys need to be followed by map values,Nested mappings are not allowed in compact mappings,"Unexpected flow-map-end token in YAML stream: ""}""",Unexpected scalar at node end
67f0d86fabc081fdc410e828,False,,"['A block sequence may not be used as an implicit map key', 'Implicit keys need to be on a single line', 'A block sequence may not be used as an implicit map key', 'Implicit keys need to be on a single line', 'Implicit map keys need to be followed by map values', 'Implicit keys need to be on a single line', 'Block scalar header includes extra characters: >=8', 'Implicit map keys need to be followed by map values']",2.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0
6691809035e52ca9b2b0f39a,False,,['Block scalar header includes extra characters: >=8'],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5ee4a14b578f8a000b384376,False,,['Block scalar header includes extra characters: >=8'],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63af557b3d4f219c3226b7d6,True,"{'version': '4-4-7', 'repository': {'author': {'-middle name': [None, True]}, 'type': ['git']}, 'engines': ['pmpm >=8'], 'keywords': '-canvas - responsive - charts'}",[],,,,,,,,
66684d30d1a0d64a3a348c82,True,"{'version': '4.4.7', 'repository': {'type': 'git', 'author': {'middle name': 'ishSensher', 'isMember': True}}, 'engines': '-pnpm -<18', 'keywords': '-canvas -responsive -charts'}",[],,,,,,,,
60e2ebb6ad1d5ee0e515a7c5,False,,"['Implicit keys need to be on a single line', 'Implicit keys need to be on a single line', 'Implicit keys need to be on a single line']",0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
67153c0d669d191ab273b865,False,,"['Implicit keys need to be on a single line', 'Implicit keys need to be on a single line']",0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
67ab1d683813ed19603e1030,True,"{'version': '4.4.7', 'repository': {'author': {'middle name': '', 'IsMember': True}, 'type': 'git'}, 'engines': {'pnpm': '>=8'}, 'keywords': ['canvas', 'responsive', 'charts']}",[],,,,,,,,
60e343946a7faddde88fbe3c,False,,['Block scalar header includes extra characters: >=8'],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
67e0333064ddada0e2fc6f1e,False,,"['Unexpected scalar at node end', 'Unexpected scalar at node end', 'Unexpected scalar at node end', 'Unexpected flow-map-end token in YAML stream: ""}""']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
6554e79557e3d6be08e32ceb,True,"{'version': '4.4.7', 'repository': 'author', '': 'type git', 'engines': 'pnpm >=8', 'keywords': 'canvas responsive charts'}",[],,,,,,,,
645b519f108c046164a6d232,False,,['Block scalar header includes extra characters: >=8'],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
669284eabea5b8c9655927da,False,,"['Nested mappings are not allowed in compact mappings', 'Implicit keys need to be on a single line', 'Nested mappings are not allowed in compact mappings', 'Implicit keys need to be on a single line']",0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
6715c7aedee148c65c10509c,True,"{'version': '4.4.7', 'repository': {'author': {'middle_name': None, 'isMember': True}, 'type': 'git'}, 'engines': {'pnpm': '>=8'}, 'keywords': ['canvas', 'responsive', 'charts']}",[],,,,,,,,
678526627e48ded12935af38,False,,"['All mapping items must start at the same column', 'All mapping items must start at the same column', 'Implicit map keys need to be followed by map values']",0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
6738d09a032bf7224008ce7e,False,,"['All mapping items must start at the same column', 'All mapping items must start at the same column', 'All mapping items must start at the same column']",0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
67d24179c5bd87691f1fe036,True,"{'version': '4.4.7', 'repository': {'author': {'name': None, 'IsMember': True}, 'type': 'git'}, 'engines': 'pnpm >=8', 'keywords': ['canvas', 'responsive', 'charts']}",[],,,,,,,,
