participantId,format,code,valid,errorMessage,Closing brace `}` expected,Colon expected,Comma expected,End of file expected,Invalid symbol,Property name expected,Unexpected end of string,Value expected
67895b7d6400163124042af7,jsonc,"{
    // version details
    ""version"": ""4.4.8"", // software version
    
    //repository information
    ""repository"": ""4.4.8""
     ""author"": {
         ""middleName"": null, // no middle name given
          ""ismember"": true // indicate membership status
     }
{,
// keywords for categorization
""keywrods"": [
    ""type"", // Dta type
    ""canvas"", // Graphics-related functionality
    ""responsive"", // Responsive design
    ""charts"" // Charting abilities
    ]
}",False,Comma expected at offset 140; Comma expected at offset 273; Property name expected at offset 273; Value expected at offset 274,0,0,2,0,0,1,0,1
6708da9c62672d0fe65b6683,jsonc,"())   ""version""4.4.7
()     ""repository""author,type,git,middlename,IsMember,true
()      ""engines"" pupm,>=8
()      ""keywords""cavas,responsive,charts
()   ()""""",False,Invalid symbol at offset 0; End of file expected at offset 15,0,0,0,1,1,0,0,0
613a541cf948d295c1df8752,jsonc,"{
    {
        ""version:"" ""447"",
    },
    {
        ""repository:"" [
            {
            ""author""
            {
                ""middle name:"" ""null""
                ""isMember:"" true
            }
        }
        {
            ""type""
            {""git""
            }
        }
        ]
    },
    {
        ""engines:""
        {
            ""pnpm:"" >=8
        }
    },
    {
        ""keywords:""
        {
            ""canvas"",
            ""responsive"",
            ""charts""
        }
    }
}
    
        
    ",False,Property name expected at offset 7; Value expected at offset 34; End of file expected at offset 42,0,0,0,1,0,1,0,1
67c1dd323984fa84ae83e162,jsonc,"{
  ""version"":version""'//
  447
 ""repository"": ""Repository""' /*
  ""author
  type
  git
 Code storage * //
  ""engines"": ""Engines"", //
  pnpm
  >=8
   ""keywords"": ""Keywords""/*
   canvas
   responsive
   charts
   git */
}
 ""middle name
 isMember
 tru""
 }",False,Invalid symbol at offset 15; Unexpected end of string at offset 22; Comma expected at offset 30; Property name expected at offset 30; Invalid symbol at offset 62; Value expected at offset 234; Unexpected end of string at offset 238; End of file expected at offset 238,0,0,1,1,2,1,2,1
6723422d5f63c70998014b03,jsonc,"{
""person"": {
    ""name"": ""Alice"",
    ""address"": {
        ""city"": ""New York"",
        ""zip"": ""10001""
    } ,
    ""skills"": [
        { ""name"": ""Python"", ""Level"": ""Advanced"" }
        { ""name"" : ""JavaScript"", ""Level"":""Intermediate""
            
        }]
    }
    }
}
}",False,Comma expected at offset 194; End of file expected at offset 283,0,0,1,1,0,0,0,0
589cd166b2a7180001f0527d,jsonc,"{
    ""version"": 4.4.7
    
}

{
    ""repository""
    ""author""
    Middle name:null
    
}

{
    ""IsMember"": true
}

{
    'type':git
{

""keywords"": [""canvas"", ""responsive"", ""charts"",],

}
",False,Invalid symbol at offset 21; End of file expected at offset 36,0,0,0,1,1,0,0,0
6735b2a6112cf17b7b8df8d1,jsonc,"""verison""; ""4.4.7""
""repository"" : {
    ""author"" ; {
        ""middle name"": null,
        ""isMember"": true

    }
    }
}.
""engines"" : {
    ""npm"" : ""+8""
}
""keywords"": {
    ""type"",
    ""canvas"",
    ""responsive"",
    ""Charts"",
    ""git""
}",False,Invalid symbol at offset 9; End of file expected at offset 11,0,0,0,1,1,0,0,0
67da5ae29f57419143d2b99a,jsonc,"[
    {""name"": ""version""
        ""color"": ""purple""
        ""value"": ""4.4.7""
    },
    {
        ""name"": ""repository"",
        ""color"": ""purple"",
        ""children"": [
            {
                ""name"": ""author"",
                ""color"": ""orange"",
                ""children"": [
                    {
                        ""name"": ""middle name"",
                        ""color"": ""green"",
                        {
                            ""name"": null,
                            ""color"": ""blue""
                            
                        }
                    }]
            }""name"": ""isMember"",
            ""color"": ""green"",
            ""value"": ""true""
    }
            ]
    }]",False,Comma expected at offset 35; Comma expected at offset 62; Property name expected at offset 432; Value expected at offset 475; Comma expected at offset 600; Value expected at offset 600; Comma expected at offset 617; Comma expected at offset 623; Value expected at offset 623; Comma expected at offset 657; Value expected at offset 657; Comma expected at offset 688; Value expected at offset 688,0,0,7,0,0,1,0,5
66684beba2a2d24645a6d782,jsonc,"{
  // Toplevel elements
  ""version"": ""1.0.0"".
  ""repository"": {
     // repository metadata
      ""author"":{ 
          ""name"": author name 
        ""email"": ""author@example.com"",
        ""url"": ""https://author,wbsite""
      },
      ""type"":git"", // Type of ripository
  ",False,Invalid symbol at offset 47; Comma expected at offset 52; Invalid symbol at offset 135; Invalid symbol at offset 142; Comma expected at offset 164; Property name expected at offset 164; Value expected at offset 186; Invalid symbol at offset 252; Unexpected end of string at offset 255; Closing brace `}` expected at offset 283; Closing brace `}` expected at offset 283,2,0,2,0,4,1,1,1
588ab33542c8e900019d02ae,jsonc,"{
    ""Version"": ""4.4.7"",
    ""Repository"": {
        ""author"": {""middle name"", 
                  ""is member"": true
        ""Type"": ""Git""
    },
    ""engines"": {
    ""pnpm"": "">=8""
    },
    ""keywords"" [
        ""canvas""
        ""responsive
        ""charts""
        ],
    }",False,Colon expected at offset 81; Comma expected at offset 130; Colon expected at offset 213; Unexpected end of string at offset 242; Closing brace `}` expected at offset 290,1,2,1,0,0,0,1,0
