participantId,format,code,valid,errorMessage,mapping values are not allowed here,while parsing a block mapping,while scanning a block scalar,while scanning a simple key
67f0d86fabc081fdc410e828,yaml,"version: 4.4.7
Repository:
          : author
          - middle name: ~
          - Is member : true
          : type
          - git
engines:
          - pnpm
          >=8
keywords:
          - canvas
          - responsive
          - charts",False,while parsing a block mapping,0.0,1.0,0.0,0.0
6691809035e52ca9b2b0f39a,yaml,"version: 4.4.7
repository:
    author:
      middle name: ~
      IsMember:
    type:
      git:
engines:
    pnpm: >=8
keywords:
    canvas
    responsive
    charts
    
       ",False,while scanning a block scalar,0.0,0.0,1.0,0.0
5ee4a14b578f8a000b384376,yaml,"version: 4.4.7
repository:
    author: 
        middle name: null
        IsMember: true
    type: git
engines:
    pnpm: >=8
keywords:
    - canvas
    - responsive
    - charts",False,while scanning a block scalar,0.0,0.0,1.0,0.0
63af557b3d4f219c3226b7d6,yaml,"# Example of a YAML format
version: 4-4-7
repository:
    author:
        -middle name:
            - null
            - true
    type:
        - git
engines:
    - pmpm  
        >=8
keywords:
    -canvas
    - responsive
    - charts
    ",True,,,,,
66684d30d1a0d64a3a348c82,yaml,"version: 4.4.7
repository:
    type: git
    author:
        middle name: ishSensher
        isMember: true
engines:
    -pnpm
    -<18
keywords:
    -canvas
    -responsive
    -charts",True,,,,,
60e2ebb6ad1d5ee0e515a7c5,yaml,"version: 4.4.7
Respository
-Author:
     middle name
     is member: true
-Type:
   git
Engines:pnpm
        >=8
Keywords:
  -canvas
  -responsive
  -charts
  ",False,while scanning a simple key,0.0,0.0,0.0,1.0
67153c0d669d191ab273b865,yaml,"Version: 4-4-7
engines: popm >=8
is Developer: True
skills:
- python
- javaScript
- YAML
keywords:
 canvas
 responsive
 charts
 Repository:
 author, type, git
 module name
 1st member: True
",False,mapping values are not allowed here,1.0,0.0,0.0,0.0
67ab1d683813ed19603e1030,yaml,"version: 4.4.7
repository:
  author:
    middle name: """"
    IsMember: true
  type: git
engines: 
  pnpm: "">=8""
keywords:
  - canvas
  - responsive 
  - charts
",True,,,,,
60e343946a7faddde88fbe3c,yaml,"Version: 4.4.7
repository: 
  author:
   middle name: 
     IsMember: true
  type: git
engines:
  pnpm: >=8
keywords:
   - canvas
   - responsive
   - charts",False,while scanning a block scalar,0.0,0.0,1.0,0.0
67e0333064ddada0e2fc6f1e,yaml,"
  ""version"": ""4.4.7"",
  ""repository"": {
    ""author"": {
      ""middle name"": """",
      ""isMember"": true
    },
    ""type"": ""git""
  },
  ""engines"": {
    ""npm"": "">=8""
  },
  ""keywords"": [""canvas"", ""responsive"", ""charts""]
}",False,while parsing a block mapping,0.0,1.0,0.0,0.0
6554e79557e3d6be08e32ceb,yaml,"version : 4.4.7
repository : author
           : middle name
           : IsMember true
           : type git
engines:
   pnpm >=8
keywords:
   canvas
   responsive
   charts",False,while parsing a block mapping,0.0,1.0,0.0,0.0
645b519f108c046164a6d232,yaml,"version: 4.4.7
repository:
    Author:
       middle name: null
       IsMember: true
    Type: git
engines:
    pnpm: >=8
keywords:
    - canvas
    - responsive
    - charts",False,while scanning a block scalar,0.0,0.0,1.0,0.0
669284eabea5b8c9655927da,yaml,"Version: 4.4.7
 Repository:
  author:
   middle name:
    Is/Member: true
     Type: git 
Engines:
 Pnpm: "">=8""
Keywords:
 canvas
  responsive
  charts",False,mapping values are not allowed here,1.0,0.0,0.0,0.0
6715c7aedee148c65c10509c,yaml,"version: 4.4.7
repository: 
  author:
   middle_name:
   isMember: true
  type: git
engines: 
  pnpm: "">=8""
keywords:
  - canvas
  - responsive
  - charts
   ",True,,,,,
678526627e48ded12935af38,yaml,"=version: 4.4.7
respiratory:
    author:
     middle name: null
     isMember: true
    type: git
  engines:
    nmp: "">8""
keywords:
   - canvas
   - responsive
   -charts",False,while parsing a block mapping,0.0,1.0,0.0,0.0
6738d09a032bf7224008ce7e,yaml,"version: 6.6.7
respiratory:
   author:
     middle_name:  null
     isMember: true
    type: git
 engines:
   pnpm: "">=8""
 keywords:
   - canvas
   - responsive
   - charts",False,while parsing a block mapping,0.0,1.0,0.0,0.0
67d24179c5bd87691f1fe036,yaml,"version: 4.4.7
repository:
    author:
        name: null
        IsMember: true
    type: git
engines:
    pnpm >=8
keywords:
    - canvas
    - responsive
    - charts",True,,,,,
