participantId,valid,parsed,errorMessage,"('Unknown identifier', 'John')","('Unknown identifier', 'Patients')","('Unknown identifier', 'john')","('Unknown identifier', 'patient')","('Unknown identifier', 'patients')","Missing value for object property, expected "":""",Values must be separated by a comma
6697c8b6d9d7baa7edd8c4d3,False,,"('Unknown identifier', 'patients')",0,0,0,0,1,0,0
678f0bb28ec3307e4f1afb78,False,,"Missing value for object property, expected "":""",0,0,0,0,0,1,0
60a0b744298c64d46b63e893,False,,"Missing value for object property, expected "":""",0,0,0,0,0,1,0
66cdfebcb908ea2717d06b6c,False,,"('Unknown identifier', 'Patients')",0,1,0,0,0,0,0
56cb8858edf8da000b6df354,False,,"('Unknown identifier', 'John')",1,0,0,0,0,0,0
667971a555af1f83d3f29ae7,False,,"('Unknown identifier', 'John')",1,0,0,0,0,0,0
5c6414540821d30001046198,False,,"Missing value for object property, expected "":""",0,0,0,0,0,1,0
667c18ace97ab6869cb1c50e,False,,"('Unknown identifier', 'John')",1,0,0,0,0,0,0
67a754a5c8614c52a939d87b,False,,"('Unknown identifier', 'patient')",0,0,0,1,0,0,0
65cf6d8a589a67afcab54e6f,False,,"('Unknown identifier', 'john')",0,0,1,0,0,0,0
67d7fa657f5ac0292a291a38,False,,"('Unknown identifier', 'patients')",0,0,0,0,1,0,0
61267b828ead584bcf092e35,False,,"Missing value for object property, expected "":""",0,0,0,0,0,1,0
6577a27da9f5297d49f38e6f,False,,Values must be separated by a comma,0,0,0,0,0,0,1
67d9788747176969d8d0fa1d,False,,"('Unknown identifier', 'patients')",0,0,0,0,1,0,0
67adb27bd5f5776fcb16da62,False,,"('Unknown identifier', 'patients')",0,0,0,0,1,0,0
6675c40cdc52b37294f0514e,False,,"('Unknown identifier', 'John')",1,0,0,0,0,0,0
