participantId,valid,parsed,errorMessage,A block sequence may not be used as an implicit map key,All mapping items must start at the same column,All sequence items must start at the same column,Implicit keys need to be on a single line,Implicit map keys need to be followed by map values,Nested mappings are not allowed in compact mappings,Sequence item without - indicator,Unexpected block-seq-ind on same line with key,"Unexpected double-quoted-scalar token in YAML stream: ""\""patient\""""","Unexpected map-value-ind token in YAML stream: "":""",Unexpected scalar at node end,"Unexpected scalar token in YAML stream: ""1""","Unexpected scalar token in YAML stream: ""2""","Unexpected scalar token in YAML stream: ""Elevated Cholesterol""","Unexpected scalar token in YAML stream: ""John""","Unexpected scalar token in YAML stream: ""Michael""","Unexpected scalar token in YAML stream: ""Normal""","Unexpected scalar token in YAML stream: ""Regular Monitoring""","Unexpected scalar token in YAML stream: ""id""","Unexpected scalar token in YAML stream: ""name""","Unexpected scalar token in YAML stream: ""result""","Unexpected scalar token in YAML stream: ""tests""","Unexpected scalar token in YAML stream: ""treatment"""
67e25388d573ec2d5f1c8442,False,,"['Implicit map keys need to be followed by map values', 'All mapping items must start at the same column', 'Implicit keys need to be on a single line', 'Implicit map keys need to be followed by map values', 'Implicit keys need to be on a single line', 'Implicit map keys need to be followed by map values']",0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67dc19c31078d1581e39e75a,True,"{'name': 'Michael', 'age': None, 'treatment': 'Regular Monitoring', 'id': 1, 'result': 'Normal'}",[],,,,,,,,,,,,,,,,,,,,,,,
67adb520391eb17f214a50b4,True,"{'patients': {'name': 'Michael', 'tests': None, '-id': 1, '-result': 'normal', '-treatment': 'regular monitoring'}}",[],,,,,,,,,,,,,,,,,,,,,,,
66049694dfb8828a8f3dce70,False,,"['Implicit keys need to be on a single line', 'Nested mappings are not allowed in compact mappings', 'Implicit keys need to be on a single line', 'All mapping items must start at the same column', 'All mapping items must start at the same column', 'All mapping items must start at the same column']",0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6787e4bd2bf9557a90208f03,True,"{'patient': {'name': 'John'}, 'tests': {'id': 1, 'results': 'Normal'}, 'patients': {'name': 'Micheal'}, 'treatments': 'Regular Monitoring'}",[],,,,,,,,,,,,,,,,,,,,,,,
67f184a3b82990251abd1592,False,,"['Unexpected block-seq-ind on same line with key', 'Nested mappings are not allowed in compact mappings', 'Unexpected block-seq-ind on same line with key', 'Unexpected block-seq-ind on same line with key', 'Unexpected block-seq-ind on same line with key', 'Unexpected block-seq-ind on same line with key', 'Implicit map keys need to be followed by map values']",0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60fce3df91350150e2e88423,False,,"['Nested mappings are not allowed in compact mappings', 'Implicit keys need to be on a single line', 'Nested mappings are not allowed in compact mappings', 'Implicit keys need to be on a single line', 'Nested mappings are not allowed in compact mappings', 'Implicit keys need to be on a single line']",0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67d29234dbfdb6668d124115,False,,"['Unexpected scalar at node end', 'Unexpected map-value-ind token in YAML stream: "":""', 'Unexpected scalar token in YAML stream: ""John""', 'Unexpected scalar token in YAML stream: ""tests""', 'Unexpected map-value-ind token in YAML stream: "":""', 'Unexpected scalar token in YAML stream: ""id""', 'Unexpected map-value-ind token in YAML stream: "":""', 'Unexpected scalar token in YAML stream: ""1""', 'Unexpected scalar token in YAML stream: ""result""', 'Unexpected map-value-ind token in YAML stream: "":""', 'Unexpected scalar token in YAML stream: ""Normal""', 'Unexpected scalar token in YAML stream: ""id""', 'Unexpected map-value-ind token in YAML stream: "":""', 'Unexpected scalar token in YAML stream: ""2""', 'Unexpected scalar token in YAML stream: ""result""', 'Unexpected map-value-ind token in YAML stream: "":""', 'Unexpected scalar token in YAML stream: ""Elevated Cholesterol""', 'Unexpected double-quoted-scalar token in YAML stream: ""\\""patient\\""""', 'Unexpected scalar token in YAML stream: ""name""', 'Unexpected map-value-ind token in YAML stream: "":""', 'Unexpected scalar token in YAML stream: ""Michael""', 'Unexpected scalar token in YAML stream: ""tests""', 'Unexpected map-value-ind token in YAML stream: "":""', 'Unexpected scalar token in YAML stream: ""id""', 'Unexpected map-value-ind token in YAML stream: "":""', 'Unexpected scalar token in YAML stream: ""1""', 'Unexpected scalar token in YAML stream: ""result""', 'Unexpected map-value-ind token in YAML stream: "":""', 'Unexpected scalar token in YAML stream: ""Normal""', 'Unexpected scalar token in YAML stream: ""treatment""', 'Unexpected map-value-ind token in YAML stream: "":""', 'Unexpected scalar token in YAML stream: ""Regular Monitoring""']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0
671a519900a99ebc15a67672,False,,"['All mapping items must start at the same column', 'A block sequence may not be used as an implicit map key', 'Implicit keys need to be on a single line', 'Implicit map keys need to be followed by map values']",1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637d8ca00150ac6e71a34ec9,True,"{'patient': {'John': {'id': 2, 'result': 'elevated cholesterol'}, 'Michael': {'id': 1, 'result': 'normal', 'treatment': 'regular monitoring'}}}",[],,,,,,,,,,,,,,,,,,,,,,,
67f3619e16d4ca195fbd1bd0,False,,"['All sequence items must start at the same column', 'Sequence item without - indicator']",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67d1283c8f6169900d0072d2,True,"patience.John Id 1 result normal RESULT Elevated cholesterol
patient 2 name michael redult normal treatment regular monitoring
test results normal",[],,,,,,,,,,,,,,,,,,,,,,,
67f913a9b5c79e960807c7e3,False,,"['All mapping items must start at the same column', 'A block sequence may not be used as an implicit map key', 'Implicit keys need to be on a single line', 'Implicit map keys need to be followed by map values', 'Nested mappings are not allowed in compact mappings', 'Implicit keys need to be on a single line']",1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672003022f1b667a20157c45,True,"{'patients': None, 'name': 'Michael', 'tests': {'id': 1, 'result': 'Normal'}, 'treatment': 'Regular Monitoring'}",[],,,,,,,,,,,,,,,,,,,,,,,
5d766978f47e6200019a2acf,True,"{'patients': {'name': 'Michael', 'tests': None, 'id': 1, 'result': 'Normal', 'treatment': 'Regular Monitoring'}}",[],,,,,,,,,,,,,,,,,,,,,,,
