participantId,format,code,valid,errorMessage,"(""Expected b'IdentifierStart' near 25, found U+007b"", {'patients'","(""Expected b'JSON5Value' near 1, found U+0028"", None, '(')","(""Expected b'JSON5Value' near 1, found U+006a"", None, 'j')","(""Expected b'JSON5Value' near 1, found U+0070"", None, 'p')","(""Expected b'colon' near 10, found U+0070"", {}, 'p')","(""Expected b'colon' near 15, found U+0022"", {}, '""')","(""Expected b'comma' or U+007d near 25, found U+003a"", {'person'","(""Expected b'comma' or U+007d near 43, found U+0074"", {'patients'","('Expected U+0072 near 1, found U+0068', None, 'h')","('Expected U+0075 near 96, found U+006f', {'patients'","('Extra data U+003A near 10', 'patients', '"
64457bc906c125cebd4bf66b,json5,"{
 ""person"":   
""name"": {
    ""treatment""{
        ""tests"":{
        }
""results"" {
    }??????
    ??????????????????
    ?????????????????
    ???????????
}",False,"(""Expected b'comma' or U+007d near 25, found U+003a"", {'person': 'name'}, ':')",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
673e43cc760355e9e4f042a3,json5,"{
    patients: [
    {
        name: ""John"" ,
        tests: [
        {
            id: 1,
            results: ""Normal""
        },
        {
            id: 2,
            result: ""Elevated Cholesterol""
        }
        
    ]
  },
  {
    name: ""Michael"",
    tests: [
    {
        id: 1,
        result: ""Normal""
    }
   ],
   treatment: ""Regular Monitoring""
  }
 ]
}",True,,,,,,,,,,,,
6788c1c724c24dc56b08790a,json5,"{

  patients: [
  {
  name:""John""
  tests: [
  {
      id: 1,
      result: ""Normal""
      },
  }
  id: 2
  result: ""Elevated cholestrol""
}
]
},
{
}
name: ""Michael""
tests: [
{
id:3,
result: ""Normal""
}
],
treatment: ""Regular monitoring""
  ",False,"(""Expected b'comma' or U+007d near 43, found U+0074"", {'patients': [{'name': 'John'}]}, 't')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67c246023b44ca64d40ae45a,json5,"{
    ''patients'':[
    {
        ''name'':'' ''
        ''age'':'''',
        ''treatment'':{
            ''type'':'' '',
            ''medication'': '' ''
            
        }
    }
]

}
",False,"(""Expected b'colon' near 10, found U+0070"", {}, 'p')",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
672d98919cc177d28c204e76,json5,"{
    ""patients"": {
    ""name"": ""John"",
        ""tests"": [
            {""id"": 1, ""result"": normal},
            {""id"": 2, ""result"": elevated cholesterol}
            ]
    }
    ""paitents"": {
    ""name"": ""Michael"",
        ""tests"": [
            {""id': 1, ""result"": normal}
            ] 
                ""treatment"": regular monitoring
    }
}",False,"('Expected U+0075 near 96, found U+006f', {'patients': {'name': 'John', 'tests': [{'id': 1, 'result': None}]}}, 'o')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
67f1a4f8dd44e7cd5adffa29,json5,"json5
{
    patients:[
    {
        name: {
            firstName: ""..."",
            lastName: ""...""
        },
        dob: {
            year: ""..."",
            month: ""..."",
            day: ""...""
        },
        gender: ""..."",
        tests: [
          {
              name: ""Glucose"",
              result: {
                  value: ""..."",
                  details: {
                      unit: ""mg/dl"",
                      flag: ""high"" // or ""low"",
    ""normal""
                  }
              }
          },
        {
          name: ""Hemoglobin"",
          result: {
              value: ""..."",
              details: {
                  unit: ""g/dl"",
                  flag: ""normal""
              }
          }
    },
      // ... more tests
],
treatment: ""Medication, 
monitoring""
   },
   // ... more patients
   ]
}",False,"(""Expected b'JSON5Value' near 1, found U+006a"", None, 'j')",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672ca6c0324ac26cdc0dd298,json5,"{
    ""name"" ""john"" ,
    ""bests"" : [
    {
        ""name"": ""Micheal"",
        ""tests"": [
        {
            ""treatment"":
""regular monitoring""        
               ""results"":
 ""Normal""      
 
    },
   {
       ""results"":
""Elevated cholestorol""   
      }
   ]
    } ",False,"(""Expected b'colon' near 15, found U+0022"", {}, '""')",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5b68c9eb87af310001584803,json5,"( 
""Patients"": 

name
michael

tests
id
1
result
normal

treatment
regualr monitoring




name

john

tests

id
1

result
normal

id 
2
result
elevated cholestrol ",False,"(""Expected b'JSON5Value' near 1, found U+0028"", None, '(')",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67e17bac09359e09118892b4,json5,"there is 2 patient s called Jonh and Micheal ,Jonh runns test id  1 results it was normal and id 2 results is elevated cholesterol 

Micheal runns tests id 1 results were normal a day he get treatment for regular monitoring ",False,"('Expected U+0072 near 1, found U+0068', None, 'h')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6606b31155457e4f162ecf5a,json5,"{
    ""patients"": [
    {
        ""name"": ""john"",
        ""tests"": [
        {
            ""id"": 1,
            ""result"": ""normal""
        
        },
        {
             ""id"": 2,
            ""result"": ""Elevated Cholesterol""
        }
        ]
    },
    {
         ""name"": ""Michael"",
        ""tests"": [
        {
            ""id"": 1,
            ""result"": ""normal""
       }
       ],
       ""treatment"": ""Regular Monitoring"",
    }
    ]
}",True,,,,,,,,,,,,
