participantId,format,code,valid,errorMessage,"AttValue: "" or ' expected, line 2, column 16 (<string>, line 2)","Extra content at the end of the document, line 1, column 22 (<string>, line 1)","Extra content at the end of the document, line 2, column 1 (<string>, line 2)","Extra content at the end of the document, line 3, column 12 (<string>, line 3)","Opening and ending tag mismatch: Patients line 1 and patient, line 2, column 16 (<string>, line 2)","Opening and ending tag mismatch: test line 14 and patient, line 16, column 16 (<string>, line 16)","Specification mandates value for attribute id1, line 16, column 14 (<string>, line 16)","Unescaped '<' not allowed in attributes values, line 2, column 1 (<string>, line 2)","error parsing attribute name, line 1, column 10 (<string>, line 1)","error parsing attribute name, line 8, column 13 (<string>, line 8)"
669b961e1c9cf30a26bb57d2,xml,"<patients>
    <patient>
        <name>John</name>
        <test>
            <id>1
            <results>
                <tests
            </results></id>
        </test>
        </name>
    </patient></patient>",False,"error parsing attribute name, line 8, column 13 (<string>, line 8)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60721c2da01b3a616edba9a7,xml,"<?xml version=""1.0"" encoding=""UTF-8""?>
<hopital>
  <patient>
     <name>John</name>
      <tests id=""1"">
        <results>Normal</results>
       </tests>
      <test id=""2"">
        <result>Elevated Cholesterol</result>
        </test>
    </patient>
<patient>
    <name>Michael</name>
        <test id=""1""><result>Normal</result>
        <treatment>Regualar Monitoring</treatment>
     </patient>
</hospital>
",False,"Opening and ending tag mismatch: test line 14 and patient, line 16, column 16 (<string>, line 16)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67d95269b47464c18da766ca,xml,"<person id=""101>patients
<name>John</name>
<id 1>Result, Normal!>
<id 2>Result, Elevated Cholesterol>
</person>Michael>
<id 1> Result, <Treatment></ Regular Monitoring>
</id 1> Result,<Normal></person>",False,"Unescaped '<' not allowed in attributes values, line 2, column 1 (<string>, line 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6740ae39809389d7da9de209,xml,"<patient>
    <name>john</name>
    <test>
        <id>1</id>
        <result>normal</result>
        <id>2</id>
        <result>elevated cholesterol</result>
    </test>
    <name>Micheal</name>
    <test>
        <id>1</id>
        <result>nomarl</result>
    <treatment>regular monitoring</treatment>    
    </test>
</patient>",True,,,,,,,,,,,
62fd14d7b1e0729dc8aadb79,xml,"<?xml version=""1.0"" encoding=""UTF-8""?>

<patients>
    
<patient>
    <name>John</name>
    <tests>
        <test>
            <id>1</id>
            <result>Normal</result>
        </test>
        
        <test>
            <id>2</id>
            <result>Elevated Cholestrol</result>
        </test>
    </tests>
</patient>

<patient>
    <name>Michael</name>
    <tests>
        <test>
            <id>1</id>
            <result>Normal</result>
        </test>
    </tests>
    <treatment>Regular Monitoring</treatment>
</patient>

</patients>",True,,,,,,,,,,,
67e4920c40c9561040ca01d0,xml,"<Patients>
     </patient>
      </Name>R Michael</Name>
      </Tests>
        </Test>
          </Name>John</Name>
          </Result>Normal</Result>",False,"Opening and ending tag mismatch: Patients line 1 and patient, line 2, column 16 (<string>, line 2)",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
677c52fe648cd68583dd3b1e,xml,"  <patients>
    <patient>
      <name>John</name>
      <tests>
        <test>
          <id>1</id>
          <result>Normal</result>
        </test>
        <test>
          <id>2</id>
          <result>Elevated Cholesterol</result>
        </test>
      </tests>
    </patient> 
    <patient>
      <name>Michael</name>
      <tests>
        <test>
          <id>1</id>
          <result>Normal</result>
        </test>
      </tests>
      <treatment>Regular Monitoring</treatment>
    </patient>
  </patients>",True,,,,,,,,,,,
67eff2b1a264260e948a4d14,xml,"<patients=""101"">
    <name>John</name>
    <test>Id</test>1
    <test>Result</test>Normal
    <test>Id</test>2
    <test>Result</test>Elevated Cholssterol
<patients=""102"">
    <name>Michael</name>
    <tests>Id</tests>1
    <tests>Result</tests>Normal
    <treatment>Regular Monitoring</treatment>",False,"error parsing attribute name, line 1, column 10 (<string>, line 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6501c0a2e788b5556c24569d,xml,"<patients>
    <person id=0>
        <name>John</name>
        <tests>
            <test id=1>
                <result>Normal</result>
            </test>
            <test id=2>
                <result>Elevated Cholesterol</result>
            </test>
        </tests>
    </person>
    <person id=1>
        <name>Michael</name>
        <tests>
            <test id=1>
                <result>Normal</result>
            </test>
        </tests>
        <treatment>Regular Monitoring</treatment>
    </person>
</patients>
    ",False,"AttValue: "" or ' expected, line 2, column 16 (<string>, line 2)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66bb6b7e0ccbed81f3ed30a8,xml,"<person> 
<name> john</name>

<test> id </test>
<result> normal</result>
<test>id2 </test>
<result> elevated cholesterol </result>

<person>
<person>
    
    <name> Michael</name>
</person>
<test>
</test>
    <test id1></test>
    <result>normal</result>
    <treatment> regular monitoring</treatment>",False,"Specification mandates value for attribute id1, line 16, column 14 (<string>, line 16)",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6753746b1f8827e2bd586bf0,xml,"<patients></patients>
<name>
</John>
<tests> 
<id1>
<result></normal>
<id2>
<result></Elevated cholesterol>
<name>
<micheal>
<tests>
<id1><>
<result></normal>
<treatment></regular monitoringt>
",False,"Extra content at the end of the document, line 2, column 1 (<string>, line 2)",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669a84e18da4349ece0ea67c,xml,"<patients></patients>
<name>John</name>
<test>ID,Results</test>
<Result>Normal</Result>
<name>Michael</name>
<test>ID, Result</test>
<Result>Normal</Result>",False,"Extra content at the end of the document, line 2, column 1 (<string>, line 2)",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
