participantId,format,valid_strict,valid_loose,type,task
66475d6f7b27e4443ef0d031,json,False,False,tabular,writing
67e571bef6af7ecd9c29ad72,json,True,True,tabular,writing
60f1f1d4ac991a259b83f603,json,False,False,tabular,writing
673c13c9d37c8a73bc80b8ce,json,False,False,tabular,writing
667ac09492ea0caadf488520,json,False,False,tabular,writing
67debe02a893eea51e8d02f2,json,False,False,tabular,writing
615200d54efc832849db2259,json,False,False,tabular,writing
66b0d065329001a04e5ae671,json,False,False,tabular,writing
5e3b5fa9255e7a37bc841135,json,False,False,tabular,writing
5d30dfa68b1523000134878f,json,False,False,tabular,writing
67cb01a82dda2577eb6ee320,json,False,False,tabular,writing
67cd944859dabbd1d4552d39,json,False,False,tabular,writing
57c357770e6a1f00015f6038,json,False,False,tabular,writing
5f29eff59714081a3594a331,json,False,False,tabular,writing
65be552ceed6a0595fa1feb5,json,False,False,tabular,writing
667983594f7d5d70a78c6e5a,json,False,False,tabular,writing
66b246951b9aefec80b7158a,json,False,False,tabular,writing
67f5bb69760b211cdfe8021c,jsonc,False,False,tabular,writing
678bad003d15e6aba1ee5a5d,jsonc,True,True,tabular,writing
67f0c5d37f91ceae5cb3b318,jsonc,False,False,tabular,writing
67aee0dfad3492b61a9ba0eb,jsonc,False,False,tabular,writing
6734346ca8e90c2da6fb4509,jsonc,True,True,tabular,writing
67ab214c2cde1be7c45535ac,jsonc,False,False,tabular,writing
607728dc0b4f8590b94ae57c,jsonc,False,False,tabular,writing
5dafea4de40355001651fa2f,jsonc,False,False,tabular,writing
677d185800ab83d1b0185d82,jsonc,False,False,tabular,writing
6784ff2095dd9b97e969b01f,jsonc,False,False,tabular,writing
5ecc71c95c92c2000a9e9a19,jsonc,False,False,tabular,writing
66781db404eab5e142f849d9,jsonc,False,False,tabular,writing
67e12acb51605ac16c227598,jsonc,False,False,tabular,writing
66a662a0a709312db9de01f2,jsonc,False,False,tabular,writing
67ab650c320eccf6141d4010,jsonc,False,False,tabular,writing
64457bc906c125cebd4bf66b,json5,False,False,tabular,writing
673e43cc760355e9e4f042a3,json5,True,True,tabular,writing
6788c1c724c24dc56b08790a,json5,False,False,tabular,writing
